"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/21/2024 20:56:27:702 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","over-break-p","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","155","155","1870","0","5086","920","5086","2.7197860962566844"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","156","156","1865","0","5072","934","5072","2.7195710455764077"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","157","157","1858","0","5058","948","5058","2.7222820236813776"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","158","158","1853","0","5045","961","5045","2.7226119805720455"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","159","159","1853","0","5045","961","5045","2.7226119805720455"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","160","160","1850","0","5034","972","5034","2.7210810810810813"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","161","161","1842","0","5014","992","5014","2.7220412595005428"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","162","162","1840","0","5005","1001","5005","2.720108695652174"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","163","163","1839","0","5005","1001","5005","2.7215878194671017"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","164","164","1835","0","4990","1016","4990","2.7193460490463215"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","165","165","1834","0","4985","1021","4985","2.718102508178844"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","166","166","1834","0","4985","1021","4985","2.718102508178844"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","167","167","1832","0","4977","1029","4977","2.716703056768559"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","168","168","1829","0","4971","1035","4971","2.7178786221979223"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","169","169","1828","0","4968","1038","4968","2.7177242888402624"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","170","170","1827","0","4963","1043","4963","2.7164750957854404"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","171","171","1824","0","4954","1052","4954","2.7160087719298245"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","172","172","1819","0","4945","1061","4945","2.7185266630016494"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","173","173","1814","0","4927","1079","4927","2.7160970231532526"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","174","174","1812","0","4919","1087","4919","2.714679911699779"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","175","175","1810","0","4914","1092","4914","2.714917127071823"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","176","176","1810","0","4914","1092","4914","2.714917127071823"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","177","177","1809","0","4914","1092","4914","2.716417910447761"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","178","178","1807","0","4906","1100","4906","2.7149972329828445"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","179","179","1807","0","4906","1100","4906","2.7149972329828445"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","180","180","1806","0","4902","1104","4902","2.7142857142857144"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","181","181","1804","0","4892","1114","4892","2.7117516629711753"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","182","182","1802","0","4887","1119","4887","2.7119866814650386"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","183","183","1800","0","4885","1121","4885","2.713888888888889"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","184","184","1799","0","4885","1121","4885","2.7153974430239023"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","185","185","1794","0","4869","1137","4869","2.7140468227424748"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","186","186","1792","0","4867","1139","4867","2.7159598214285716"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","187","187","1791","0","4867","1139","4867","2.7174762702400894"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","188","188","1790","0","4865","1141","4865","2.717877094972067"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","189","189","1788","0","4861","1145","4861","2.7186800894854586"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","190","190","1788","0","4861","1145","4861","2.7186800894854586"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","191","191","1787","0","4856","1150","4856","2.7174034695019587"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","192","192","1786","0","4854","1152","4854","2.7178051511758117"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","193","193","1784","0","4845","1161","4845","2.7158071748878925"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","194","194","1781","0","4836","1170","4836","2.7153284671532845"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","195","195","1780","0","4833","1173","4833","2.715168539325843"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","196","196","1779","0","4829","1177","4829","2.7144463181562677"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","197","197","1779","0","4829","1177","4829","2.7144463181562677"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","198","198","1778","0","4829","1177","4829","2.7159730033745784"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","199","199","1777","0","4824","1182","4824","2.714687675858188"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","200","200","1774","0","4815","1191","4815","2.714205186020293"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","201","201","1772","0","4812","1194","4812","2.715575620767494"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","202","202","1771","0","4810","1196","4810","2.715979672501412"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","203","203","1770","0","4807","1199","4807","2.715819209039548"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","204","204","1768","0","4798","1208","4798","2.7138009049773757"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","205","205","1768","0","4798","1208","4798","2.7138009049773757"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","206","206","1767","0","4798","1208","4798","2.715336728919072"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","207","207","1767","0","4798","1208","4798","2.715336728919072"
